G1	G5	0.517809
G9	G10	0.357463
G5	G1	0.343064
G8	G6	0.327707
G9	G7	0.271967
G6	G8	0.236044
G5	G9	0.202236
G7	G2	0.188307
G7	G9	0.182786
G6	G2	0.182019
G8	G2	0.176489
G2	G8	0.166006
G7	G3	0.159549
G2	G1	0.156564
G2	G6	0.152820
G3	G7	0.146586
G7	G4	0.138744
G5	G10	0.137335
G10	G9	0.136833
G9	G3	0.130515
G9	G4	0.128806
G1	G2	0.128762
G2	G5	0.128245
G4	G10	0.122041
G8	G4	0.119186
G1	G3	0.118529
G8	G3	0.118261
G4	G7	0.116593
G6	G4	0.114223
G2	G7	0.114032
G1	G8	0.112050
G4	G6	0.108235
G3	G4	0.105478
G10	G4	0.105367
G4	G3	0.103790
G5	G2	0.102263
G8	G9	0.101978
G6	G3	0.101451
G1	G4	0.101049
G2	G4	0.100189
G5	G3	0.099458
G7	G8	0.098394
G8	G1	0.096078
G5	G4	0.086958
G3	G9	0.086634
G5	G7	0.086500
G2	G3	0.086458
G2	G9	0.086070
G10	G8	0.085981
G5	G8	0.084987
G9	G8	0.084760
G10	G3	0.081988
G8	G10	0.080822
G4	G1	0.078553
G9	G1	0.074278
G3	G8	0.073408
G8	G5	0.072748
G10	G6	0.072680
G7	G6	0.071855
G8	G7	0.071839
G4	G9	0.070553
G5	G6	0.069099
G1	G6	0.069048
G3	G10	0.068578
G1	G9	0.068473
G7	G10	0.067776
G3	G6	0.067614
G1	G7	0.067287
G6	G7	0.064758
G7	G1	0.064730
G6	G9	0.064437
G3	G1	0.064055
G3	G2	0.063632
G10	G1	0.062069
G6	G10	0.061056
G10	G2	0.060960
G9	G6	0.060942
G6	G1	0.060608
G10	G7	0.060437
G1	G10	0.059183
G4	G8	0.058369
G9	G2	0.058343
G9	G5	0.056324
G10	G5	0.055756
G3	G5	0.052210
G7	G5	0.047335
G2	G10	0.045746
G4	G2	0.039225
G6	G5	0.038162
G4	G5	0.031410
